iter	Passed	Remaining
0	26	26412
1	38	19175
2	46	15577
3	55	13789
4	61	12231
5	67	11185
6	71	10198
7	76	9456
8	80	8891
9	86	8605
10	91	8211
11	95	7883
12	100	7647
13	105	7449
14	110	7237
15	114	7056
16	119	6927
17	124	6784
18	129	6668
19	134	6586
20	139	6517
21	144	6407
22	149	6329
23	154	6280
24	158	6198
25	163	6118
26	168	6077
27	172	6005
28	177	5937
29	182	5906
30	187	5857
31	192	5826
32	197	5790
33	202	5742
34	206	5696
35	211	5658
36	216	5635
37	221	5601
38	225	5566
39	230	5541
40	235	5516
41	240	5482
42	246	5478
43	250	5448
44	255	5420
45	260	5393
46	265	5385
47	270	5356
48	274	5328
49	280	5324
50	285	5307
51	290	5294
52	296	5298
53	301	5275
54	305	5247
55	311	5248
56	316	5239
57	321	5226
58	328	5240
59	333	5223
60	338	5216
61	344	5218
62	349	5205
63	354	5188
64	359	5177
65	365	5166
66	369	5144
67	374	5126
68	379	5120
69	383	5099
70	388	5086
71	394	5085
72	400	5088
73	406	5084
74	411	5080
75	416	5066
76	422	5059
77	428	5062
78	433	5051
79	439	5054
80	445	5050
81	451	5054
82	458	5069
83	464	5064
84	470	5061
85	476	5061
86	481	5057
87	488	5066
88	495	5067
89	500	5062
90	506	5063
91	512	5057
92	518	5054
93	524	5057
94	530	5049
95	535	5041
96	541	5040
97	547	5037
98	553	5033
99	558	5024
100	563	5016
101	569	5012
102	574	5005
103	580	5001
104	586	5003
105	592	4998
106	598	4991
107	604	4990
108	610	4990
109	615	4983
110	621	4981
111	627	4974
112	633	4972
113	639	4967
114	644	4959
115	650	4955
116	655	4948
117	660	4940
118	666	4935
119	671	4927
120	677	4921
121	685	4936
122	692	4935
123	697	4930
124	704	4928
125	709	4920
126	714	4914
127	720	4907
128	725	4900
129	731	4897
130	737	4890
131	742	4883
132	748	4878
133	753	4870
134	759	4863
135	764	4859
136	770	4852
137	776	4848
138	783	4850
139	788	4843
140	794	4838
141	800	4834
142	807	4837
143	812	4831
144	818	4828
145	824	4820
146	830	4816
147	835	4808
148	840	4800
149	846	4794
150	851	4787
151	856	4779
152	862	4773
153	867	4767
154	873	4759
155	879	4757
156	884	4750
157	889	4742
158	896	4739
159	901	4732
160	906	4725
161	913	4726
162	918	4719
163	924	4712
164	930	4709
165	936	4705
166	942	4701
167	947	4694
168	953	4687
169	958	4681
170	964	4674
171	969	4666
172	975	4661
173	980	4653
174	985	4646
175	991	4641
176	996	4633
177	1001	4626
178	1007	4621
179	1013	4614
180	1019	4612
181	1025	4606
182	1030	4601
183	1036	4595
184	1042	4592
185	1048	4587
186	1053	4579
187	1059	4575
188	1064	4568
189	1069	4561
190	1076	4558
191	1081	4551
192	1086	4544
193	1092	4540
194	1098	4534
195	1104	4529
196	1109	4523
197	1115	4516
198	1120	4510
199	1126	4505
200	1131	4498
201	1137	4493
202	1142	4487
203	1148	4479
204	1154	4475
205	1159	4469
206	1165	4463
207	1170	4457
208	1176	4451
209	1181	4445
210	1187	4440
211	1192	4433
212	1198	4427
213	1205	4427
214	1210	4420
215	1216	4414
216	1222	4410
217	1227	4404
218	1233	4398
219	1239	4394
220	1245	4388
221	1250	4382
222	1256	4377
223	1261	4371
224	1267	4366
225	1273	4360
226	1278	4354
227	1284	4350
228	1290	4343
229	1295	4337
230	1301	4333
231	1307	4327
232	1312	4321
233	1318	4316
234	1324	4310
235	1329	4303
236	1335	4300
237	1341	4294
238	1346	4288
239	1352	4283
240	1357	4276
241	1363	4271
242	1369	4265
243	1374	4259
244	1380	4253
245	1385	4246
246	1390	4240
247	1396	4235
248	1401	4228
249	1407	4221
250	1413	4216
251	1419	4212
252	1425	4208
253	1432	4206
254	1437	4200
255	1443	4196
256	1449	4191
257	1455	4185
258	1461	4181
259	1467	4176
260	1472	4169
261	1478	4165
262	1484	4160
263	1490	4154
264	1496	4149
265	1501	4143
266	1507	4137
267	1513	4133
268	1518	4127
269	1524	4121
270	1530	4117
271	1536	4111
272	1541	4105
273	1547	4099
274	1553	4094
275	1558	4088
276	1563	4082
277	1569	4075
278	1574	4069
279	1580	4063
280	1585	4056
281	1591	4051
282	1597	4047
283	1603	4042
284	1609	4037
285	1615	4032
286	1620	4025
287	1627	4022
288	1632	4017
289	1638	4010
290	1643	4005
291	1649	3998
292	1654	3992
293	1660	3988
294	1666	3981
295	1672	3977
296	1677	3971
297	1683	3965
298	1688	3959
299	1694	3953
300	1699	3947
301	1706	3943
302	1711	3937
303	1717	3931
304	1723	3926
305	1728	3920
306	1733	3913
307	1739	3909
308	1745	3902
309	1750	3896
310	1757	3892
311	1762	3886
312	1768	3881
313	1774	3875
314	1779	3869
315	1785	3864
316	1790	3858
317	1796	3852
318	1801	3846
319	1807	3840
320	1812	3834
321	1818	3828
322	1824	3824
323	1830	3818
324	1836	3814
325	1843	3811
326	1849	3805
327	1855	3800
328	1860	3794
329	1866	3788
330	1872	3783
331	1877	3777
332	1883	3772
333	1888	3766
334	1894	3760
335	1900	3756
336	1906	3750
337	1911	3743
338	1917	3739
339	1922	3732
340	1928	3727
341	1934	3722
342	1940	3716
343	1945	3710
344	1951	3705
345	1957	3699
346	1962	3693
347	1968	3688
348	1973	3682
349	1979	3676
350	1985	3671
351	1991	3665
352	1998	3663
353	2004	3657
354	2009	3651
355	2016	3647
356	2021	3641
357	2027	3635
358	2033	3629
359	2038	3623
360	2043	3618
361	2049	3612
362	2055	3606
363	2060	3600
364	2066	3594
365	2071	3588
366	2077	3582
367	2082	3577
368	2088	3572
369	2094	3566
370	2100	3560
371	2105	3554
372	2112	3551
373	2118	3545
374	2123	3539
375	2134	3541
376	2139	3535
377	2148	3534
378	2153	3529
379	2160	3525
380	2167	3521
381	2174	3517
382	2182	3516
383	2188	3511
384	2197	3510
385	2203	3504
386	2211	3503
387	2218	3499
388	2226	3497
389	2232	3491
390	2238	3486
391	2245	3482
392	2251	3477
393	2257	3472
394	2263	3466
395	2269	3461
396	2275	3456
397	2282	3451
398	2287	3446
399	2293	3440
400	2299	3434
401	2305	3428
402	2310	3423
403	2316	3416
404	2321	3410
405	2327	3404
406	2332	3398
407	2338	3393
408	2344	3387
409	2349	3381
410	2356	3376
411	2361	3370
412	2366	3363
413	2372	3358
414	2378	3352
415	2386	3349
416	2392	3345
417	2398	3339
418	2404	3334
419	2410	3328
420	2416	3323
421	2422	3317
422	2427	3311
423	2433	3305
424	2438	3298
425	2442	3291
426	2447	3284
427	2453	3279
428	2458	3272
429	2463	3266
430	2469	3260
431	2475	3254
432	2480	3248
433	2486	3242
434	2491	3236
435	2496	3230
436	2503	3225
437	2508	3218
438	2513	3212
439	2519	3206
440	2525	3201
441	2531	3195
442	2536	3189
443	2541	3182
444	2547	3176
445	2552	3170
446	2557	3163
447	2562	3157
448	2568	3151
449	2573	3145
450	2578	3139
451	2584	3133
452	2589	3127
453	2595	3120
454	2601	3115
455	2606	3109
456	2613	3105
457	2621	3102
458	2627	3096
459	2634	3093
460	2639	3086
461	2645	3081
462	2651	3075
463	2657	3069
464	2663	3064
465	2669	3058
466	2674	3052
467	2680	3047
468	2686	3041
469	2691	3035
470	2697	3029
471	2703	3024
472	2709	3019
473	2715	3013
474	2720	3006
475	2726	3001
476	2731	2995
477	2736	2988
478	2742	2983
479	2748	2977
480	2753	2971
481	2760	2966
482	2765	2960
483	2771	2954
484	2777	2949
485	2784	2944
486	2790	2939
487	2795	2933
488	2801	2927
489	2806	2921
490	2812	2916
491	2818	2909
492	2824	2904
493	2829	2898
494	2835	2892
495	2841	2887
496	2846	2881
497	2853	2875
498	2859	2871
499	2865	2865
500	2871	2859
501	2877	2854
502	2883	2849
503	2889	2843
504	2898	2841
505	2906	2837
506	2916	2836
507	2926	2834
508	2932	2829
509	2941	2826
510	2947	2820
511	2954	2816
512	2962	2812
513	2971	2809
514	2982	2808
515	2990	2805
516	3003	2805
517	3010	2801
518	3020	2798
519	3027	2795
520	3034	2790
521	3041	2785
522	3047	2779
523	3054	2774
524	3060	2768
525	3066	2763
526	3073	2758
527	3079	2752
528	3086	2748
529	3091	2741
530	3097	2735
531	3103	2730
532	3109	2724
533	3114	2717
534	3120	2712
535	3126	2706
536	3132	2700
537	3138	2694
538	3143	2688
539	3149	2683
540	3154	2676
541	3160	2670
542	3169	2667
543	3174	2660
544	3180	2654
545	3187	2650
546	3194	2645
547	3201	2640
548	3207	2634
549	3213	2628
550	3219	2623
551	3224	2617
552	3231	2611
553	3236	2605
554	3242	2599
555	3249	2594
556	3254	2588
557	3259	2582
558	3266	2576
559	3271	2570
560	3277	2564
561	3284	2559
562	3289	2553
563	3296	2548
564	3302	2542
565	3308	2536
566	3314	2530
567	3320	2525
568	3326	2519
569	3332	2514
570	3338	2508
571	3344	2502
572	3350	2496
573	3355	2490
574	3362	2485
575	3368	2479
576	3375	2474
577	3381	2469
578	3387	2462
579	3394	2457
580	3399	2451
581	3404	2445
582	3411	2439
583	3417	2434
584	3422	2427
585	3427	2421
586	3434	2416
587	3440	2410
588	3445	2403
589	3450	2398
590	3457	2392
591	3463	2387
592	3469	2380
593	3475	2375
594	3481	2369
595	3487	2364
596	3493	2357
597	3498	2351
598	3503	2345
599	3509	2339
600	3515	2333
601	3520	2327
602	3526	2321
603	3531	2315
604	3537	2309
605	3543	2303
606	3548	2297
607	3555	2292
608	3561	2286
609	3566	2280
610	3572	2274
611	3578	2268
612	3584	2262
613	3591	2258
614	3597	2251
615	3603	2246
616	3609	2240
617	3614	2234
618	3620	2228
619	3626	2222
620	3631	2216
621	3637	2210
622	3643	2204
623	3649	2199
624	3654	2192
625	3660	2186
626	3666	2180
627	3671	2175
628	3677	2168
629	3683	2163
630	3690	2158
631	3696	2152
632	3702	2146
633	3708	2140
634	3714	2135
635	3719	2128
636	3724	2122
637	3730	2116
638	3736	2110
639	3741	2104
640	3747	2098
641	3753	2093
642	3758	2087
643	3765	2081
644	3770	2075
645	3775	2069
646	3782	2063
647	3787	2057
648	3793	2051
649	3800	2046
650	3806	2040
651	3812	2034
652	3817	2028
653	3823	2022
654	3829	2017
655	3835	2011
656	3840	2005
657	3847	1999
658	3852	1993
659	3857	1987
660	3863	1981
661	3869	1975
662	3874	1969
663	3880	1963
664	3885	1957
665	3891	1951
666	3897	1946
667	3903	1939
668	3909	1934
669	3914	1928
670	3920	1922
671	3925	1916
672	3931	1910
673	3936	1904
674	3943	1898
675	3949	1893
676	3955	1887
677	3963	1882
678	3968	1876
679	3974	1870
680	3979	1864
681	3984	1857
682	3990	1852
683	3996	1846
684	4002	1840
685	4008	1834
686	4014	1829
687	4019	1822
688	4026	1817
689	4031	1811
690	4036	1805
691	4043	1799
692	4048	1793
693	4054	1787
694	4060	1781
695	4065	1775
696	4071	1770
697	4076	1763
698	4082	1757
699	4088	1752
700	4093	1746
701	4098	1740
702	4104	1734
703	4111	1728
704	4116	1722
705	4123	1717
706	4128	1711
707	4134	1705
708	4140	1699
709	4146	1693
710	4152	1687
711	4157	1681
712	4163	1675
713	4169	1670
714	4175	1664
715	4180	1658
716	4187	1652
717	4192	1646
718	4197	1640
719	4204	1635
720	4211	1629
721	4217	1623
722	4222	1617
723	4227	1611
724	4233	1605
725	4239	1599
726	4244	1593
727	4250	1588
728	4256	1582
729	4262	1576
730	4268	1570
731	4274	1564
732	4279	1558
733	4286	1553
734	4291	1547
735	4296	1541
736	4303	1535
737	4308	1529
738	4314	1523
739	4320	1517
740	4326	1512
741	4333	1506
742	4338	1500
743	4343	1494
744	4350	1489
745	4374	1489
746	4388	1486
747	4395	1480
748	4402	1475
749	4407	1469
750	4413	1463
751	4417	1456
752	4421	1450
753	4426	1444
754	4432	1438
755	4436	1431
756	4441	1425
757	4446	1419
758	4451	1413
759	4455	1406
760	4459	1400
761	4465	1394
762	4469	1388
763	4474	1382
764	4480	1376
765	4485	1370
766	4490	1364
767	4495	1357
768	4499	1351
769	4504	1345
770	4508	1339
771	4543	1341
772	4552	1336
773	4560	1331
774	4566	1325
775	4572	1319
776	4577	1313
777	4583	1307
778	4587	1301
779	4593	1295
780	4598	1289
781	4602	1283
782	4607	1276
783	4612	1270
784	4616	1264
785	4621	1258
786	4626	1252
787	4631	1245
788	4635	1239
789	4640	1233
790	4645	1227
791	4649	1221
792	4654	1214
793	4659	1208
794	4664	1202
795	4668	1196
796	4674	1190
797	4679	1184
798	4684	1178
799	4689	1172
800	4694	1166
801	4698	1160
802	4704	1154
803	4709	1148
804	4714	1141
805	4718	1135
806	4725	1130
807	4730	1124
808	4736	1118
809	4742	1112
810	4747	1106
811	4752	1100
812	4758	1094
813	4764	1088
814	4771	1083
815	4778	1077
816	4786	1072
817	4794	1066
818	4800	1060
819	4806	1055
820	4812	1049
821	4818	1043
822	4824	1037
823	4829	1031
824	4835	1025
825	4841	1019
826	4846	1013
827	4853	1008
828	4858	1002
829	4864	996
830	4870	990
831	4876	984
832	4881	978
833	4888	973
834	4894	967
835	4901	961
836	4907	955
837	4912	949
838	4918	943
839	4924	938
840	4929	932
841	4936	926
842	4941	920
843	4947	914
844	4952	908
845	4958	902
846	4964	896
847	4969	890
848	4974	884
849	4980	878
850	4986	873
851	4992	867
852	4999	861
853	5006	855
854	5013	850
855	5019	844
856	5024	838
857	5030	832
858	5035	826
859	5041	820
860	5047	814
861	5052	808
862	5058	802
863	5064	797
864	5069	791
865	5075	785
866	5082	779
867	5087	773
868	5093	767
869	5100	762
870	5106	756
871	5113	750
872	5119	744
873	5124	738
874	5131	733
875	5136	727
876	5141	721
877	5148	715
878	5153	709
879	5160	703
880	5165	697
881	5171	691
882	5177	685
883	5184	680
884	5189	674
885	5199	669
886	5206	663
887	5214	657
888	5221	651
889	5228	646
890	5235	640
891	5242	634
892	5248	628
893	5255	623
894	5261	617
895	5267	611
896	5274	605
897	5281	599
898	5287	594
899	5294	588
900	5300	582
901	5305	576
902	5311	570
903	5317	564
904	5323	558
905	5329	552
906	5334	547
907	5341	541
908	5347	535
909	5352	529
910	5360	523
911	5365	517
912	5371	511
913	5377	505
914	5382	500
915	5388	494
916	5395	488
917	5400	482
918	5406	476
919	5412	470
920	5419	464
921	5425	459
922	5431	453
923	5438	447
924	5445	441
925	5453	435
926	5460	429
927	5466	424
928	5473	418
929	5478	412
930	5486	406
931	5493	400
932	5502	395
933	5508	389
934	5515	383
935	5522	377
936	5529	371
937	5537	366
938	5543	360
939	5552	354
940	5559	348
941	5570	342
942	5577	337
943	5587	331
944	5593	325
945	5601	319
946	5608	313
947	5616	308
948	5622	302
949	5629	296
950	5637	290
951	5644	284
952	5652	278
953	5657	272
954	5664	266
955	5669	260
956	5675	255
957	5681	249
958	5687	243
959	5692	237
960	5699	231
961	5705	225
962	5711	219
963	5717	213
964	5722	207
965	5729	201
966	5734	195
967	5740	189
968	5747	183
969	5752	177
970	5757	171
971	5764	166
972	5769	160
973	5776	154
974	5782	148
975	5787	142
976	5794	136
977	5800	130
978	5805	124
979	5812	118
980	5817	112
981	5823	106
982	5828	100
983	5834	94
984	5839	88
985	5845	83
986	5851	77
987	5857	71
988	5863	65
989	5868	59
990	5874	53
991	5880	47
992	5885	41
993	5892	35
994	5897	29
995	5903	23
996	5910	17
997	5915	11
998	5922	5
999	5928	0
